XP2-8 Pinout Rev August-9-2011,,,,,,,,,
Notes:,,,,,,,,,
"(1) - The I/O Grouping column is used to determine the average DC current drawn by I/Os between GNDIO on die and VCCIO connections, or between the last GNDIO/VCCIO in an I/O bank and the end of an I/O bank. The GNDIO/VCCIO substrate pads that determine the I/O grouping are not necessarily connected with a package ball or pin.",,,,,,,,,
(LVDS)* - Supports true LVDS. Other differential signals must be emulated with external resistors.,,,,,,,,,
Index,Pin/Ball Function,Bank,Dual Function,Differential,FTBGA256,FTBGA256 DQS,PQFP208,PQFP208 DQS,TQFP144,TQFP144 DQS,CSBGA132,CSBGA132 DQS,I/O Grouping (1)
1,VCCIO7,7,,,,,,,,,,,
2,PL2A,7,VREF1_7,T,D3,,1,,1,,B1,,+
3,PL2B,7,VREF2_7,C,E4,,2,,2,,B2,,+
4,GNDIO7,-,,,,,3,,3,,C1,,
5,GND,-,,,,,3,,3,,C1,,
6,VCC,-,,,,,4,,,,,,
7,VCCIO7,7,,,,,5,,4,,C3,,
8,PL6A,7,,T,C3,,,,,,,,-
9,PL6B,7,,C,C2,,,,,,,,-
10,PL7A,7,,T(LVDS)*,C1,,,,,,,,-
11,PL7B,7,,C(LVDS)*,D1,,,,,,,,-
12,PL8A,7,,T,D2,,,,,,,,-
13,GNDIO7,-,,,,,,,,,,,
14,PL8B,7,,C,E1,,,,,,,,+
15,VCCIO7,7,,,,,,,,,C3,,
16,PL9A,7,,T(LVDS)*,F2,LDQ13,6,LDQ13,5,LDQ13,,,+
17,PL10A,7,PROGRAMN,T,G2,LDQ13,8,LDQ13,7,LDQ13,C2,LDQ13,+
18,PL9B,7,,C(LVDS)*,F1,LDQ13,7,LDQ13,6,LDQ13,,,+
19,PL10B,7,DONE,C,G4,LDQ13,10,LDQ13,8,LDQ13,D3,LDQ13,+
20,PL11A,7,CFG1,T(LVDS)*,G1,LDQ13,9,LDQ13,9,LDQ13,D1,LDQ13,+
21,PL11B,7,,C(LVDS)*,H1,LDQ13,12,LDQ13,10,LDQ13,E1,LDQ13,+
